Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000878297,0.000734404,0.000575272,0.000491427,0.001552095,0.001633733,0.001379482,0.000925463,0.000937353,0.00116676,0.000819359,0.001002439,0.000848487,0.000717946,0.000703182,0.000712137,0.000657229,0.00069997,0.000685497,0.0006534,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.00225777,0.003265236,0.002423296,0.003363897,0.002860261,NA,NA
AFE,5.564501252,4.478680922,4.252699162,5.938981157,6.750737996,5.540569374,6.012023956,6.495857173,5.738447267,7.82182597,12.15570466,9.774195328,9.861041208,8.471384454,6.318175162,8.624037122,7.464451102,7.032790397,8.170163358,8.39897595,8.109949265,6.511634469,6.027254712,5.459892669,6.783789174,7.457336233,8.186001455,6.875975511,6.107903048,5.02411871,6.628245025,6.962304491,7.426468693,7.100798351,8.811187223,9.855749043,11.10980076,13.07768823,19.47034585,10.48207754,12.43962923,14.37993528,11.60248041,11.00753434,9.465804285,6.380067148,6.849476158,7.708904183,7.376520665,6.150920062
AFG,0.302881585,0.373956335,0.435262391,0.871483242,1.152719466,1.640526354,1.892310788,1.798912301,1.632851686,2.250358937,2.583876013,2.075059165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023570222,0.710009344,0.44003058,0.3817198,0.50226549,0.449365386,0.611295447,0.418062902,0.609980533,0.879277901,0.702276007,0.54588231,0.544477424,0.495307093,0.677458944,0.696790427,0.915366189,0.773957273
AFW,2.994569577,3.355866275,3.140401676,5.191092127,23.07490401,17.80645431,16.21208858,19.72670794,16.70561124,33.73956309,19.54603509,4.59173594,3.556173773,5.972536541,10.16327602,10.27372684,6.394217432,9.49565061,8.43437365,15.34230219,17.359718,11.8055122,13.43264027,15.18868468,14.91503149,15.21497595,16.50840091,14.49483968,8.924527,10.32885504,18.21313246,12.60149576,10.49264975,11.51929662,14.44940341,17.88697829,17.9205237,16.81886869,19.20835436,12.03409703,15.05866066,19.44426088,17.51686553,13.65677947,11.71705805,6.466216105,6.408503051,9.516194869,11.14224227,8.947269344
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.57787373,10.72234006,5.191673079,10.88773871,16.83710102,15.18113138,7.482099187,17.32087541,15.78739746,23.24997448,28.95861914,17.33138276,28.03965877,33.785017,39.42913587,42.40854253,46.00789611,39.3320636,18.52994657,40.04539419,55.45007279,38.43442666,27.69338684,24.04876527,40.19370009,45.82718464,43.49004533,46.27901193,55.85217033,30.73249868,40.14246391,41.15369433,36.22851635,30.81602521,23.67103715,10.80155578,10.85711419,16.45241141,27.42822035,26.19426737
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.19357486,16.50765137,7.699038795,10.70181715,11.09210971,13.56808584,11.0420086,10.48947428,11.46893927,3.014731405,1.625175957,1.296536422,1.25275915,1.35697405,0.321535422,0.531577111,1.09796102,0.755950478,0.76079824,0.733194369,0.770849476,1.018382373,1.321831442,1.761086092,1.10999895,0.605979694,1.57450583,3.178895493,3.377276961,2.947406347,3.075781739,1.621620436,1.333386872,1.357555735,1.818064699,1.591731888
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARB,13.12524785,14.71307396,16.97709779,22.00920004,49.18935828,39.74672937,39.66739248,38.4238493,34.33474644,58.16020002,51.9354462,38.61183052,24.99169611,24.73568139,24.23868585,21.46530062,14.10656195,18.34459685,17.19478347,24.2372956,24.69759077,20.79579547,21.48417182,20.87283843,18.75948937,19.33176347,22.12838293,19.20729352,12.74903141,16.54034315,26.14835948,21.33197103,20.69641613,23.58466617,29.16968796,36.3856989,36.65984262,33.49276004,38.24925432,24.91096985,29.27001523,36.3061771,35.29894372,32.20399768,28.51403966,16.91894194,13.9648135,17.9283686,22.72098563,20.18068412
ARE,NA,NA,NA,NA,NA,41.70235959,40.79115292,35.1391919,34.36860939,60.45421716,46.91134058,31.55097088,22.4465526,23.25318646,23.37862444,24.30586749,16.52575895,24.20086536,20.46540619,29.65264349,36.71869983,24.91475783,23.47756127,20.75296067,17.99088658,18.00196318,20.55364013,17.80083568,11.84787398,14.68478708,21.90076447,17.20269082,15.49325698,17.87454318,20.87072816,25.88245834,26.1659372,23.9858608,28.41339857,19.23568093,22.65124301,30.0976913,29.88362697,27.12999506,24.24404646,14.05058311,11.34571449,13.60599291,17.32477033,16.75662049
ARG,0.39712755,0.529178082,0.59300691,0.637868248,1.901181662,2.441226038,2.711778693,2.302502627,2.534692776,5.495651469,6.390148187,5.296066595,3.167532805,3.387782952,4.14942095,3.44972104,1.307612326,1.881547068,1.544271346,3.642357451,2.587266694,1.186564095,1.165310967,1.166918037,1.048337562,1.26936337,1.630527564,1.444969061,0.824825665,1.365099038,2.289973591,1.934761012,5.829834452,5.133473873,4.958780527,5.760672106,6.135958797,4.995812922,5.038827371,3.069357206,3.329394894,3.708190851,3.40459291,3.000047416,2.733557678,1.081226358,0.936007816,1.126360021,2.129515087,2.071184086
