Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFE,17887.78687,15681.66038,13668.41149,11750.43802,10072.13636,8719.4182,7579.28124,5792.896496,5095.339082,4470.264436,3626.855554,3169.935163
AFG,5042.003148,4533.681746,3998.737366,3579.754578,3659.998767,4063.065673,3254.969455,2435.795479,2086.211738,1739.817602,1513.090981,1299.037244
AFW,18888.64214,16920.75338,15040.90106,13218.88764,11527.37094,10051.64613,8790.03585,7698.029814,6735.819242,5882.227982,5127.551129,4479.883695
AGO,26388.52213,25630.19098,23683.92206,19644.76426,16530.82535,13845.68997,11692.80073,9951.873279,8447.769212,7079.524103,5894.553214,4963.649817
ALB,15718.86948,13685.40261,11992.19304,10702.01222,9661.391571,8723.555708,8284.470867,8544.345311,8816.752485,9057.187215,9274.579618,9361.54604
AND,20521.49034,15202.31214,11738.88786,9631.05374,8068.515915,6512.722095,5359.872287,4906.868995,4505.481955,3817.033937,3828.842491,4098.860995
ARB,1208.649032,1052.722687,917.9154986,793.1478502,676.9230518,584.3062408,514.9149681,454.3744743,409.0119937,365.1225168,303.6337389,274.7786303
ARE,1337.947767,883.558739,453.2160209,203.9853294,128.7757036,97.81379644,73.06765285,56.15115291,43.1187009,24.31573101,16.40850976,15.81076663
ARG,13804.16112,12790.82033,11844.31764,10952.16428,10140.8079,9363.652884,8708.795764,8189.034781,7749.110756,7358.07304,6996.815562,6629.611829
ARM,NA,NA,NA,NA,NA,NA,1992.262157,2189.218855,2260.729815,2338.868211,2378.096961,2329.199138
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,931.0820247,849.1182234,810.8023825,836.5239214,841.6963419,842.610147,806.7143456,725.1732746,664.129352,618.833974,575.1767009,544.9305737
AUS,45801.52672,41698.44902,37337.78554,34667.41826,32415.33799,30251.0468,28122.32066,26570.17875,25036.38418,23622.50091,21642.10339,19998.48792
AUT,7714.032133,7455.607281,7290.367794,7267.028961,7261.550486,7261.122918,7014.67176,6902.574924,6805.282433,6630.111047,6524.324878,6251.729171
AZE,NA,NA,NA,NA,NA,NA,1099.295584,1035.307626,993.0310391,945.6609138,872.9763945,823.5206844
BDI,3460.231416,3092.325592,2818.199518,2609.973003,2296.946819,2001.13663,1769.391947,1643.218945,1500.570247,1279.535846,1088.039012,929.1577268
BEL,1301.436851,1252.480041,1235.697446,1220.70834,1217.495038,1215.776647,1194.605401,1178.63778,1161.351949,1129.337361,1080.406362,1054.930402
BEN,4115.23127,3765.572287,3384.191489,2999.90243,2622.388527,2271.092607,1931.803582,1639.698143,1411.848562,1218.244333,1058.662874,921.6843881
BFA,2519.994646,2339.498692,2145.858647,1953.450677,1746.234664,1535.611444,1344.50383,1171.997474,1016.830828,877.0681003,754.3183822,651.271104
BGD,2068.87787,1778.628508,1575.968291,1429.279398,1251.010757,1097.509439,972.3689059,873.8307344,792.5839684,736.013736,695.3378386,657.5428072
BGR,2620.758957,2527.007087,2448.636925,2385.229839,2354.931456,2340.782483,2458.969172,2526.447089,2679.541737,2783.175518,2874.393914,2967.800635
BHR,23.10269146,20.40191778,17.45573879,13.19396112,10.36395623,8.909062967,7.646984603,6.723513977,5.441140463,3.861287121,3.077060361,2.677238188
