iso3,2019
NOR,0.045
IRL,0.093
CHE,0.025
HKG,NA
ISL,0.058
DEU,0.084
SWE,0.039
AUS,0.097
NLD,0.043
DNK,0.038
FIN,0.047
SGP,0.065
GBR,0.118
BEL,0.043
NZL,0.123
CAN,0.08
USA,0.204
AUT,0.069
ISR,0.109
JPN,0.094
LIE,NA
SVN,0.063
KOR,0.064
LUX,0.065
ESP,0.07
FRA,0.049
CZE,0.136
MLT,0.175
EST,0.086
ITA,0.069
ARE,0.079
GRC,0.116
CYP,0.086
LTU,0.124
POL,0.115
AND,NA
LVA,0.176
PRT,0.075
SVK,0.191
HUN,0.233
SAU,0.252
BHR,0.212
CHL,0.247
HRV,0.116
QAT,0.185
ARG,0.328
BRN,0.255
MNE,0.109
ROU,0.276
PLW,NA
KAZ,0.19
RUS,0.225
BLR,0.118
TUR,0.306
URY,0.288
BGR,0.206
PAN,0.407
BHS,0.341
BRB,0.252
OMN,0.306
GEO,0.331
CRI,0.288
MYS,0.253
KWT,0.242
SRB,0.132
MUS,0.347
SYC,NA
TTO,0.323
ALB,0.181
CUB,0.304
IRN,0.459
LKA,0.401
BIH,0.149
GRD,NA
MEX,0.322
KNA,NA
UKR,0.234
ATG,NA
PER,0.395
THA,0.359
ARM,0.245
MKD,0.143
COL,0.428
BRA,0.408
CHN,0.168
ECU,0.384
LCA,0.401
AZE,0.323
DOM,0.455
MDA,0.204
DZA,0.429
LBN,0.411
FJI,0.37
DMA,NA
MDV,0.369
TUN,0.296
VCT,NA
SUR,0.436
MNG,0.322
BWA,0.465
JAM,0.396
JOR,0.45
PRY,0.446
TON,0.354
LBY,0.252
UZB,0.288
BOL,0.417
IDN,0.48
PHL,0.43
BLZ,0.415
WSM,0.36
TKM,NA
VEN,0.479
ZAF,0.406
PSE,NA
EGY,0.449
MHL,NA
VNM,0.296
GAB,0.525
KGZ,0.369
MAR,0.454
GUY,0.462
IRQ,0.577
SLV,0.383
TJK,0.314
CPV,0.397
GTM,0.479
NIC,0.428
BTN,0.421
NAM,0.44
IND,0.488
HND,0.423
BGD,0.537
KIR,NA
STP,0.537
FSM,NA
LAO,0.459
SWZ,0.567
GHA,0.538
VUT,NA
TLS,NA
NPL,0.452
KEN,0.518
KHM,0.474
GNQ,NA
ZMB,0.539
MMR,0.478
AGO,0.536
COG,0.57
ZWE,0.527
SLB,NA
SYR,0.482
CMR,0.56
PAK,0.538
PNG,0.725
COM,NA
MRT,0.634
BEN,0.612
UGA,0.535
RWA,0.402
NGA,NA
CIV,0.638
TZA,0.556
MDG,NA
LSO,0.553
DJI,NA
TGO,0.573
SEN,0.533
AFG,0.655
HTI,0.636
SDN,0.545
GMB,0.612
ETH,0.517
MWI,0.565
COD,0.617
GNB,NA
LBR,0.65
GIN,NA
YEM,0.795
ERI,NA
MOZ,0.523
BFA,0.594
SLE,0.644
MLI,0.671
BDI,0.504
SSD,NA
TCD,0.71
CAF,0.68
NER,0.642
PRK,NA
MCO,NA
NRU,NA
SMR,NA
SOM,NA
TUV,NA
