Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36750.39809,NA,NA,NA
AFE,2554.595257,2495.966953,2421.787983,2397.01279,2389.705309,2421.864802,2478.836897,2491.423363,2471.243461,2463.627383,2486.027451,2502.493916,2568.555117,2605.802968,2682.066166,2779.6217,2875.883182,2998.522401,3038.270428,3036.416892,3081.787132,3213.781255,3272.074298,3337.899293,3414.274146,3448.628456,3445.477347,3461.6995,3463.302823,3459.136752,3284.97692
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085.487571,NA,NA,NA
AFW,2644.390213,2603.720983,2586.267711,2432.44032,2391.475595,2376.362839,2425.025401,2452.447133,2472.664227,2466.864245,2348.993675,2487.128008,2680.266531,2751.766523,2888.240358,2961.698672,3201.307033,3238.145737,3347.206449,3459.687378,3558.297898,3630.209039,3732.085798,3863.314792,4045.77669,4085.202395,3998.278977,3965.33366,3947.589002,3998.4524,3845.827829
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690.604857,3900.710372,4659.954466,4684.384828,4929.945484,5390.699648,5672.126464,6359.181376,6490.787737,6999.175405,6911.740241,6885.53639,7280.845666,7478.104777,7704.231949,7652.656486,7189.426672,6861.575738,6381.521946,6082.746624,5734.985737
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9955.158909,10152.38913,10642.62683,11056.51338,11146.9879,11553.05485,11692.64685,12015.6341,12485.26722,12804.36491,13310.44733,NA,NA
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11421.34333,11427.01415,11189.37738,11690.70541,12221.59265,12581.70516,12996.7195,13336.35509,13780.90187,13525.35013,13670.42903,14079.78891,14454.2528,14647.7617,14822.74049,15118.38962,15364.24574,15214.70632,15201.13345,15151.59783,14553.51219
ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103519.0537,96736.92556,97761.53732,98236.07759,92443.55639,88502.51225,79459.26304,69814.63137,59017.26106,54911.2224,56152.96846,57447.33833,60007.29395,62499.75036,65528.59087,66881.33906,67667.50846,67195.09523,67462.11602,NA
ARG,13596.5238,14802.73318,15939.36314,17131.21969,17873.31574,17090.30997,17781.32509,18982.9811,19425.42237,18534.19619,18178.89544,17151.83115,14726.59153,16055.8379,16057.17059,17269.58787,20124.06588,21866.52751,22550.52031,20876.94192,22726.5519,23946.29396,23515.83095,23851.36802,23047.14885,23465.83221,22696.22044,22996.57352,21895.98398,21152.84567,19158.28338
ARM,NA,NA,NA,NA,2752.634814,3097.518981,3334.652991,3596.478737,3778.666736,3923.733627,4178.364613,4602.415315,5264.761341,6031.824576,6753.702499,7747.377287,8881.542147,10262.02119,11125.68978,9428.74357,9745.371343,10072.83785,10830.49156,11351.59965,11518.84312,11774.61451,11570.56122,12543.27535,12951.66721,13893.84245,12424.54882
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18775.95078,NA,NA,NA
AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47163.24522,NA,NA,NA
