Row Labels,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MAR,39.00518799,39.74602509,40.41746521,40.86503601,41.12043381,41.32680511,42.65504074,43.92391205,44.37909317,44.93738174,43.9957428,45.33289719,45.29803085,45.83132553,46.52988052,47.22717285,46.70303345,46.00955963,44.51689529,43.03348923,44.17349625,48.53704453,50.05917358,52.66551208,52.87538528,52.37968826,48.06842422,48.71440125,49.47243118,50.27999496,55.77306747,56.50449371,57.77299118,58.38562393,59.13004684,61.17107773,62.60876465,63.83724213,63.51970291,63.71672821,65.50415802,66.81645203,68.10964966,67.77043915,66.91854095,68.30656433,69.51581573,70.07421112,70.53482819
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.01504135,39.41337967,40.00093842,39.6656456,40.26262283,40.86680603,40.47729492,40.42126846,40.0915184,40.87160492,39.53050232,40.18400192,40.56115723,42.14493561,42.60773468,43.85021973,43.95711136,42.94232559,43.32540131,44.90467834,45.59185028,46.1670723,45.7157402,47.10377502,46.0978241,47.00662994,47.28339386,45.84094238,45.43064499,45.4891243,45.22931671,45.39557266,45.13814163
ADO,45.76541138,47.53401566,47.30567932,47.14322662,46.4548912,44.84415817,45.24319077,46.79069519,47.08568192,47.1390686,42.98482132,45.88229752,39.0326767,44.06891251,43.53010178,44.57098389,45.28316498,45.09130478,45.54278946,45.65103531,44.9720726,43.6194458,44.76973343,45.62225342,44.24605942,41.31863022,40.79310989,42.79705429,46.00199509,46.91531372,46.85562515,44.73981094,46.30024338,46.10276031,48.81808472,48.80790329,44.41294861,46.25806808,50.49507904,51.32558823,50.93964386,46.88484955,48.60353851,47.6907959,46.01942825,48.73939514,48.78884125,50.05312729,50.3808403
AFG,21.26085472,21.80933762,21.64054298,21.9958992,21.24339104,22.13384438,21.12336731,22.21586609,20.25878716,20.60519028,21.31948471,21.77981567,22.20049667,22.54134369,22.53667641,22.27884483,22.77581787,23.02475739,23.75946617,23.6668644,23.85082626,23.77927399,23.49964523,23.39865494,24.52774239,24.63245773,25.01453972,25.07059479,25.50653648,25.50947571,24.54487991,24.57795143,24.82829285,25.8573513,28.65205383,31.15462685,31.31427956,32.0129776,34.09264755,34.29054642,35.82672119,37.65414047,37.83036804,37.66450119,37.34621811,38.69138718,37.25442123,37.72254181,38.51956558
AGO,NA,NA,NA,NA,NA,26.79717445,29.53231812,30.06500435,30.25298119,27.68055344,30.03129387,27.55696869,29.26889801,30.17621613,31.45570374,28.48892975,29.52584839,30.29968071,31.30722427,32.23554993,33.27979279,32.29624176,33.73683929,34.21273804,37.39173126,37.46416473,39.27498245,40.36552429,41.22001648,42.00660706,42.12488937,41.02730942,39.19204712,40.59088516,40.55091858,41.60277176,41.9685173,42.76090622,42.82606125,43.96301651,44.56310272,44.942276,44.48901367,44.16267014,43.51257706,43.77073669,42.23849487,41.17525101,42.80884933
ALB,29.80476379,30.82504463,29.17226601,27.21319771,29.43727684,29.08187675,31.78892136,30.23037148,26.31688309,31.92119789,32.43303299,31.41615486,29.86213875,31.23984718,31.31591797,29.17225456,30.43471909,31.96056557,30.87444115,32.43624115,30.66300011,32.59707642,40.99581146,41.88619614,40.71141434,43.4425354,40.29914856,43.01225662,45.87842941,46.27908325,49.10032654,52.81081009,56.41216278,55.51211929,57.18354034,57.02437973,60.61914063,63.50083542,65.06082153,67.69216156,69.18400574,65.60346985,63.02854919,65.94611359,68.06480408,68.91365814,66.44929504,67.00224304,66.65048981
ARE,NA,40.92673492,40.93512344,41.8328476,42.54455948,43.25628281,44.23489761,43.72879028,46.05066681,47.65753174,47.63786697,48.39917374,48.45711136,50.22440338,50.86662674,51.17538834,50.69337463,50.37722397,49.85068512,49.8419838,50.4478569,52.84147263,57.90564728,58.73917007,59.67876434,56.29784393,57.18956375,58.63819504,61.3514061,61.45910645,61.70048523,62.97484207,63.00376892,63.69963837,64.01122284,66.59195709,67.87081909,69.89466858,71.67854309,70.8710022,71.26985168,71.83280945,73.90789795,74.31938934,74.22615051,74.7878952,74.62473297,75.1455307,75.50694275
ARG,48.29637909,47.39520264,46.89282227,47.14038849,47.02669525,46.87961197,47.55208969,49.49610519,50.21192932,51.15067673,50.8480072,51.04648972,48.91223907,49.92771912,50.90499115,51.32003403,50.7407608,50.71625137,50.55211258,51.47716522,51.4905014,53.52531815,55.23132324,59.15894318,60.70492172,62.62301254,62.57933807,64.11885834,64.81493378,65.71315765,66.65177917,65.96225739,65.89408875,66.72033691,67.62801361,66.63843536,66.58860779,68.15167236,67.53358459,68.71562195,68.2394104,67.51314545,65.84172821,66.43339539,66.59338379,66.33387756,67.39994049,69.96952057,71.31338501
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.05305099,29.53897095,33.6402092,36.79386139,42.23734665,45.61674881,48.43315506,48.36600113,49.75718689,50.36271286,52.11978531,52.02514648,53.43478775,55.07346725,55.89293289,57.12796783,59.25104523,59.06056976,61.15194321,62.49581909,63.30469131,66.77149963,66.92593384,67.4968338,67.84793091,67.93704224,68.22273254,68.42263794
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.54431534,44.34595108,42.81156158,43.1585083,41.54206467,44.64061737,46.69664764,46.35952377,45.92378616,47.15280914,47.78065872,47.96017456,47.48851013,47.89608765,53.66712189,48.16658783,47.92930603,48.6919632,49.0558548,49.4037056,50.1007843,50.30863571,52.27537537,52.89424896,53.94128418,55.14242935,55.88040543,55.19156265,54.93720245,54.82274246,55.13702011,55.68018723,56.34955597,56.9855423,57.52607346,57.9583931,58.04573059,58.09569931
AUS,56.84416962,57.99645996,58.78889847,59.42921448,59.98941803,60.27000046,60.82718658,61.89064789,62.1799736,62.23698807,62.46884155,62.56406784,62.689785,62.93117523,63.10605621,63.8462677,64.27600861,64.81745911,66.35733795,66.39070129,66.45452881,68.19604492,69.71844482,70.92424774,72.21075439,73.05728149,73.19841003,73.95296478,74.77733612,76.08602142,77.44609833,78.15633392,77.5796051,78.37368774,78.47335052,78.59358978,79.41388702,80.87187195,80.03909302,80.35221863,81.04421997,81.08522797,80.72530365,80.10627747,80.65979004,80.62939453,81.41259003,81.64704132,81.50907898
AUT,66.40413666,66.89925385,67.38829803,68.6717453,69.61756897,69.68618011,70.56214142,71.49765778,72.0110321,72.12133789,72.98207855,73.29040527,73.00557709,72.99038696,73.8003006,76.34635925,75.76657867,75.45556641,75.18481445,74.9058075,75.03497314,78.54628754,79.16017914,79.68817139,80.36855316,81.26829529,82.53761292,83.51405334,84.20703125,84.64958191,86.33463287,86.68626404,85.77651978,86.26638031,86.89817047,87.15423584,87.43295288,88.08302307,88.277565,87.87361908,87.58852386,87.98799133,88.12809753,87.82299042,88.70861053,88.36730194,88.42401886,88.69255066,88.55739594
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.79293251,28.1742878,29.07687378,29.52319145,32.50515366,35.71863174,37.75505447,39.08176804,40.51102066,42.76828384,44.39217758,47.90018845,48.66266251,50.8254776,52.00678253,52.58798599,56.16229248,57.18790436,57.80622101,58.75724411,59.4335022,61.67919159,61.62729645,62.45385361,62.79416656,63.82348251,64.45744324,67.758461
BDI,14.1490221,14.47366428,14.6740942,15.2129879,15.42946911,15.65685272,16.117939,16.64370155,16.41600037,16.60399055,16.92151833,17.16187286,17.540308,17.578022,19.75243759,19.85826874,20.54235077,22.00478935,21.8681221,22.16929817,22.86811256,23.76078796,24.32146454,24.79520798,24.36911392,24.0428524,23.34669304,22.76544762,22.53222466,22.6649971,23.61260414,25.0581913,25.62059212,26.77173233,28.33991623,29.45087051,31.05960464,34.1149559,35.80786514,36.02666092,37.13906479,37.24699402,38.1934166,39.38467407,40.67087936,40.46397018,39.84810257,39.87722397,40.10858536
BEL,74.52289581,75.20032501,75.35642242,76.48158264,76.86751556,76.45462036,76.95037079,76.97674561,77.76984406,78.34085846,78.74111938,78.96691132,79.15592957,79.52752686,80.62406158,80.95957947,80.69422913,80.33834076,79.8923111,79.83215332,79.72173309,82.18225861,83.65613556,84.31884766,84.63449097,84.67914581,85.27568817,85.59101105,84.97262573,85.67485809,86.75856781,87.06126404,86.16752625,87.02340698,86.99908447,87.13054657,87.92610168,89.24511719,89.20275879,89.32505035,89.33535767,89.39208221,89.46260834,89.47360229,90.41918182,89.87504578,89.95559692,90.0477829,90.46327209
BEN,22.522686,23.15023994,23.370121,24.37187386,24.6434269,25.34028435,25.86963081,26.75747108,26.56206131,26.39345169,26.74390602,28.81998444,29.11174011,29.68922424,31.27145958,31.74813843,31.20916176,31.04388428,31.22426605,30.66009331,29.83555222,32.89789581,34.68482971,32.68917847,35.27036667,39.1658783,37.57477951,37.53154373,38.62706375,38.14719391,38.59444427,40.67241669,40.38560486,41.18577576,42.61248398,42.30737686,43.79854965,45.81687546,44.94677734,45.2495575,46.09842682,45.54237747,46.71589661,50.95162582,50.21403885,48.84679413,49.74863434,50.58571625,50.95877075
BFA,24.8187809,25.21972847,24.63570023,24.92476654,24.90719032,25.40064621,25.74567604,25.71231651,25.7476635,26.71862221,27.14340019,27.26324272,27.69074059,27.9691925,28.17291832,28.48766136,28.20853424,28.18795776,28.11303902,28.31766701,29.22025299,29.99713135,29.16043472,31.18829346,32.10996246,32.48640442,31.43573952,31.91337585,36.84136581,36.61377716,37.17640305,38.45151138,38.35342407,39.62556839,40.62590027,41.61983109,42.92005539,43.77991486,42.92168808,44.36231995,45.90232086,47.94194412,49.23913193,51.26416016,51.10277176,51.7220459,52.07363129,52.27733612,52.23240662
BGD,NA,18.69324303,19.46337318,19.6192112,19.52477646,19.06240654,20.88467789,21.50264168,21.63651085,21.96314621,24.02933121,24.16256142,24.46909332,24.74128723,24.6886673,24.7480278,25.84466171,26.57426071,29.63864899,29.6417942,29.55792618,30.62150192,32.19961929,31.8380909,35.34199142,36.11251068,34.90985489,35.0502243,35.77342606,36.56217575,37.53168488,38.46966934,39.71437073,40.35161972,41.12546921,42.47927475,44.34628677,46.57334518,47.50959396,47.57026672,50.03764725,50.8627243,51.04918671,51.28412628,51.48725891,51.03823853,50.66563797,50.43761444,50.12346649
BGR,44.77447128,45.02879333,45.16147614,46.22790909,46.51718521,48.22058105,48.50377274,48.8820076,49.86425018,50.72089005,51.6333313,52.28517151,52.40406418,52.81416321,53.19179535,53.21963882,52.73364639,51.8784523,51.11239243,50.06490326,48.82496643,49.0974884,55.90744781,57.25378418,57.7509079,59.60991287,63.69638443,64.96370697,64.95529175,67.07094574,69.15429688,69.68423462,68.27406311,71.16433716,71.67263031,71.24617004,74.11677551,77.68425751,78.31018829,76.78837585,76.74111938,76.8523941,78.18950653,79.22628021,79.83640289,80.00084686,80.27011108,80.67710114,79.76535034
BHR,NA,46.86226654,46.92152786,47.2125473,47.41204453,47.96109009,48.32760239,48.50809479,48.8279686,49.15808487,49.44223785,49.96715164,50.42650986,49.89796448,51.02415848,51.9707756,52.41888046,51.95346451,51.89117432,51.53162766,51.2865715,53.7881279,54.46395111,54.77047729,55.64035034,56.03886414,55.90109634,56.55831146,59.10779953,60.7698555,61.18457794,61.71278763,62.13650513,63.2153244,64.76669312,65.09266663,66.16118622,66.91750336,67.59160614,67.93527985,68.55176544,67.77423096,69.4404068,69.03850555,69.61012268,68.8449707,68.07420349,68.94962311,68.9233551
BHS,NA,NA,NA,47.50889969,47.72097778,48.36702728,49.60663605,49.95066452,50.16986847,49.50327301,49.40105057,49.33163834,49.21339035,48.9174614,48.66754913,48.62814713,48.70789719,48.25706863,47.71131897,48.04122925,46.59804535,47.08682251,46.38379669,47.57679749,47.39725876,52.5742569,47.10124969,44.68662262,46.30204773,46.48142624,46.72579575,46.90332794,46.81772614,46.90645218,47.667099,47.40704727,48.57686996,48.88643646,50.15899277,52.48266983,52.74422455,53.19854736,53.45304108,53.69458008,54.95333481,54.95316315,55.60250092,54.95053864,55.87317276
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.50311661,37.11788559,37.54208755,38.0358696,39.26231766,41.68670273,43.29117203,45.77337265,50.24247742,54.9398613,55.74118423,56.66320801,59.15983582,59.81916046,63.62757874,65.51041412,66.73012543,66.58548737,67.55833435,68.92518616,68.58104706,68.22634888,68.78662872,69.17612457,68.17102051,68.87654114,68.78403473
BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.96380615,34.43804932,35.71800613,38.08683395,41.30706787,43.35307693,43.27021027,43.57338333,45.76506805,46.89365387,48.48545837,49.28102112,50.30830765,50.13087463,50.423172,52.02630234,54.67015457,55.91205215,57.544384,59.51897049,64.05805206,65.26477814,65.81523132,65.12496948,66.09564209,67.45025635,67.43895721,67.59078217
BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.10587692,38.0048027,38.8006897,38.92519379,39.8692627,40.13787079,40.33856583,40.60355377,40.39700317,40.50177002,40.74842072,41.04320145,40.99486923,41.42838287,46.24355698,42.2436409,42.75968933,43.25592422,44.95294189,45.67964172,48.5377388,47.59720993,49.93563843,50.20005035,51.91434479,54.01423645,55.0544281,54.28294754,54.35887527,54.63709641,56.11824036,57.3833046,57.03419876,57.17307663,56.99328232,57.7097702,56.68241501,56.1565361
BMU,43.2576828,44.581707,44.73047256,43.45882416,43.42303848,43.24010849,43.27371979,43.32670593,43.55374527,43.29924774,43.46068192,42.70798492,42.56761551,42.57670593,43.59120178,43.15071869,43.25779343,42.37613297,42.49317551,42.4661293,42.57148361,42.27396393,42.56921005,42.25138474,42.25220871,42.28252411,42.4258194,43.95163345,44.20900726,43.66806793,43.76949692,44.40897369,44.6151619,44.93544769,45.57488251,45.43992615,45.44731522,45.50953674,44.71286011,44.98965454,45.15069199,44.91276932,44.57415009,44.98549652,44.64519501,44.38338852,44.60015869,44.43949127,44.44605637
BOL,34.84627151,34.54369736,35.29182053,36.72588348,37.36480331,37.29658508,37.83622742,38.73065567,39.62930679,40.69480133,40.47945023,38.98320007,38.19923782,39.79415131,38.55884552,38.6989212,42.014328,42.23983765,42.19161606,42.35539246,43.30181503,44.2556572,44.34373856,45.81058502,49.90658569,48.24517441,48.17865753,50.89932251,54.77593231,55.89246368,56.67912674,56.78979111,54.69101334,56.8322525,58.44840622,59.44258881,59.753685,60.58435822,60.36387634,59.93614578,59.95996857,60.26805878,60.42291641,61.02903748,60.352314,59.83693695,58.77155685,59.12997055,58.67059708
BRA,39.27198029,39.4240303,39.82513428,40.57852173,40.93479919,41.27634048,41.06373596,41.42427444,41.72206497,42.27760696,41.81962204,42.50263977,42.45090866,43.02910995,43.41364288,43.31851578,42.94102478,41.96674347,40.79834366,41.46962738,41.94226074,42.96672058,44.80970764,45.65259171,48.15909958,49.38982773,50.73814011,52.02843857,52.70198822,54.26411057,54.28689957,56.21977615,57.35083389,57.24023438,58.05001068,59.0678215,60.1228714,61.44132996,62.36021423,64.01837158,64.82421875,64.79214478,64.94493103,64.66814423,65.48388672,63.8876915,64.34424591,64.33409119,64.48873901
BRB,43.91006851,44.33237457,45.00274277,46.22378922,44.22045898,44.20407486,45.58812714,44.77664948,45.30379868,45.76692963,45.9315033,46.5199852,45.89096069,46.40396118,47.50907516,46.59934998,47.52882385,46.94281769,47.09618759,47.00570297,46.912323,47.64719772,47.29313278,50.44854736,51.26467133,56.98742294,53.71952438,52.2202034,52.67529297,53.12143326,53.65503693,54.93364334,55.49291992,56.12675095,56.13967133,57.75336456,57.81464767,59.33652496,57.39202118,58.50435257,59.87682724,61.33141708,61.00975418,61.42518234,61.20833206,60.66326141,60.61404037,59.77542496,62.9460144
BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.62915421,37.93504715,39.22166824,38.93842316,39.811306,39.50819016,40.21597672,40.948452,45.99643707,46.24275208,43.64159775,45.07630157,46.36611176,46.92747879,49.57734299,50.18202972,51.89969635,51.06555939,50.9191246,51.87095642,52.85904694,52.43190002,52.26095581,53.3055687,58.58974457,60.95346832,61.53932571,61.46957397,62.21871567,62.28046036,62.23353195,61.84185791,62.27146912,62.06258011,62.1192131
BTN,21.49628639,22.39108086,22.39108086,22.58511162,22.58511162,22.47760391,22.49945259,22.47760391,22.47760391,22.39668083,22.32145119,22.83844948,22.65149498,22.43314743,22.55966187,22.86977005,22.93438721,22.93533516,23.51210403,23.22270203,22.69925117,23.47471237,23.96691513,23.72180748,23.40329552,23.58877945,23.99716377,23.37379074,23.28770065,24.55273247,24.85784149,25.20818138,25.03856277,25.71623421,27.94904137,27.97961807,31.57873154,31.80873299,33.12976837,33.03107834,34.34197998,35.44493103,36.19169998,36.91695023,40.13563919,41.15998459,41.19120026,41.11079407,41.65919113
BWA,37.10603714,37.50075531,38.41072464,38.77222061,38.6799202,39.95868683,40.77203751,40.95273972,40.36910629,40.75772858,40.39650345,40.26819992,40.57069397,41.13811874,40.86222839,41.19261932,41.29547882,42.27846146,41.46482849,40.64102936,41.4952774,41.60618973,40.85595703,43.91222,44.42828751,42.00940323,40.67806625,44.80553055,46.68038177,47.64162445,51.09292221,51.51826859,51.68657684,52.12956619,51.97454071,51.02761078,55.10155106,56.8505249,57.64171982,57.19419098,54.52194977,53.81928253,54.58786774,55.78986359,57.93055725,57.28282928,57.402668,55.82487488,55.59416962
CAF,22.81147575,22.95338249,24.62883568,26.48753738,25.86698341,25.94546318,26.03416824,27.03775024,26.95503616,26.39297485,26.49507332,27.43263245,27.48619461,27.95712662,28.79698753,28.15522194,27.80923271,27.77901268,26.82717705,26.3572979,25.59926796,27.26277924,27.30948639,27.60919571,29.5949192,30.04823112,28.84450912,28.95592117,28.94628525,29.08760262,29.52303696,29.42085075,28.58517265,28.90683746,29.03054619,33.24354935,34.21264267,35.49734497,35.88529205,36.0720253,37.49213409,37.22568893,37.07695389,37.83779144,37.7170105,37.11865234,35.29742432,37.68483353,37.90309143
CAN,62.1938591,63.12981033,63.32991028,64.54631805,65.23405457,65.18127441,66.08917999,66.43040466,67.22725677,67.85811615,67.88490295,68.12771606,67.23144531,66.88115692,67.62444305,67.632164,67.69358063,67.38253021,67.24556732,68.76114655,70.1027832,72.67539215,73.81686401,74.8288269,74.67912292,75.88330078,76.69021606,79.30387115,80.5439682,81.09091187,81.85755157,81.62180328,79.87524414,80.51819611,80.81768799,80.93024445,81.08473206,82.2244873,82.19856262,82.28643036,82.53365326,82.66022491,82.83612823,82.75856018,83.78936005,83.86720276,84.04671478,84.12155914,84.1807251
CHE,70.98264313,71.25981903,71.30666351,72.53773499,73.00256348,73.02590179,73.76573944,74.45877838,74.79732513,75.27400208,75.45876312,76.20954132,76.0821228,76.08532715,76.64540863,77.53061676,77.21670532,76.75714111,75.64463043,78.51151276,77.58768463,80.48057556,81.07050323,81.87658691,82.18527985,82.44168091,83.16168213,84.52190399,85.14590454,86.10128021,87.71572876,88.02561951,86.79207611,87.05291748,86.83945465,87.73051453,87.32089996,88.2631073,88.3412323,88.35929108,88.81561279,88.06296539,89.97537231,89.96929932,90.66137695,90.65888977,90.98388672,90.83403778,90.79354858
CHL,46.3394165,45.74847412,46.28770828,45.95291901,46.76834106,48.69714737,50.17507935,49.99499512,51.09413528,51.71915817,51.55183411,51.61304474,50.62226105,50.59002304,50.45019913,50.80963898,51.5819931,50.62460327,49.90818405,49.56616592,50.41984558,54.31960297,55.05885696,56.56287003,57.75335693,60.56009674,59.64641571,61.30089951,62.35931778,64.21677399,66.48627472,69.74951935,69.9961853,73.25373077,74.2990799,73.21598816,74.98553467,76.93258667,77.36927795,76.52999878,76.11908722,77.59863281,76.95723724,76.65671539,77.51984406,76.61872101,76.68914795,76.5512085,76.07939911
CHN,21.35580254,22.02061462,22.93938828,23.6587429,24.13612556,24.42861938,24.80467606,25.04333305,25.36660194,25.47307396,25.66459274,25.89413071,27.88753319,28.56991005,29.6150856,30.87829208,32.06628418,32.38717651,32.87054443,32.49441147,36.25551224,37.92102814,39.3001442,41.85232544,42.69016647,44.04946899,44.90557861,46.5449791,48.56791687,50.18737411,52.01816559,53.55138397,54.66479492,55.83028412,58.2036171,59.70414352,60.8588295,63.14556122,62.08108902,61.82709503,62.31158066,62.55186844,62.64600754,63.42030716,63.87773895,63.29908752,63.60948181,64.26760101,64.28266907
CIV,33.50630951,34.05012894,34.05283737,35.97043991,36.60663223,37.37146759,38.11344147,38.5069809,38.89653778,37.47765732,39.34480286,40.03203583,40.14473724,40.49245834,40.65703201,41.46895981,41.18059921,39.89268875,39.57192993,39.30226135,39.10935593,39.55725861,39.0090065,39.39333344,40.31212997,41.26171875,40.01265335,40.6734314,45.87666321,47.08483505,46.63433456,47.59849548,47.94006348,47.60722733,48.62105179,48.79364014,49.85308075,50.48605347,50.93701553,51.51626968,51.85268021,51.52015686,52.19280243,52.48345566,52.7857132,51.44242859,52.02295303,53.44244003,53.45254898
CMR,29.78490829,29.55861664,30.56416321,31.20083046,32.55091095,34.00208282,34.39645004,34.98622894,35.35992432,34.99995422,36.546978,35.78912354,34.31497574,35.31023026,35.9435997,37.2256279,35.62545013,34.09365463,33.40727234,33.17813492,33.56069565,33.51011276,38.70445633,38.00990677,34.81864548,35.67480087,36.06738663,36.51577759,39.34487152,40.71879959,41.22317123,42.30297852,43.24183655,43.41693878,44.41139221,44.14560318,44.32525253,45.79193878,46.11532593,45.93915176,45.68788528,47.18785858,48.69594193,49.32532501,50.8483696,50.81332016,50.65849304,50.04107666,50.50763321
COG,30.76450539,31.984272,31.90396118,32.82095337,34.73072052,34.13460541,34.71875763,34.52720642,35.2959404,35.32117462,36.54159546,36.00581741,36.39738464,36.25086594,35.79165649,37.25771713,38.06802368,36.68502045,36.46807098,38.90248871,38.388237,39.61812973,40.02210617,42.32885742,43.84175491,44.94853973,44.3335228,44.98022842,43.98379135,44.70671082,40.88586807,40.454319,42.26633453,42.39146042,46.54928207,47.81222534,45.25069427,45.21471405,45.98030853,50.09828568,50.66357803,48.13085938,48.5330658,48.45302963,52.86554718,54.75746536,54.36833191,54.31172943,53.67335129
COL,38.37862778,38.87405777,39.25984955,39.96382523,39.95961761,40.49829865,41.15055084,41.3993988,41.50149536,41.81837463,41.95681,42.6014328,42.32709885,42.33112335,42.51174545,42.92470169,43.6493988,43.52967834,42.698246,42.06916428,44.44520187,45.75631714,45.99321365,47.30944443,48.2583847,49.14870453,46.99432373,50.71615982,48.25404739,52.62055588,52.9098053,53.49331665,48.79172897,50.28741074,51.49849701,52.55073166,56.98804092,59.16760635,58.78956223,58.86681747,59.75013351,60.75497055,61.48835754,62.43937302,62.44439316,63.04617691,62.94535065,63.5242424,63.65906525
COM,NA,NA,NA,NA,NA,18.66492844,18.92605019,17.73642921,19.56634903,19.63848495,19.38562202,22.20489502,23.17543983,23.30158424,24.17814255,24.17142105,23.0645771,23.30379295,23.33877373,23.96257401,23.35651016,24.2586956,24.8946991,25.63953781,28.8539257,28.52834702,27.68586349,28.45435333,28.09104729,28.34966278,28.24501801,29.75655746,29.65166092,29.37833214,28.48829842,29.71658516,31.43630028,31.85495949,33.13668823,34.45530701,35.53414536,36.07323837,36.97322464,35.7721138,37.20568085,37.65922928,37.96712875,38.70896912,40.41567993
