Country Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFE,NA,NA,NA,NA,NA,NA,NA,0.665955773,0.697591903,0.699819216,NA,0.716764661,NA,NA,0.646038366,NA,NA,NA,NA
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225627284,NA,NA,NA,NA,NA,NA,NA
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087370001,0.154119998,NA,NA,NA,NA,NA,NA
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489199996,NA,NA,0.699999988
ARG,0.417490005,0.419589996,0.411309987,0.453370005,0.438840002,0.424600005,0.388859987,0.41012001,0.365550011,0.378670007,0.400330007,0.401690006,0.421350002,0.519010007,0.517610013,0.53658998,0.60939002,0.611750007,0.613030016
ARM,NA,0.186920002,0.226009995,0.214000002,0.184630007,0.279870003,0.252550006,0.239710003,0.212009996,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,0.238529995,0.222159997,0.240789995
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1.662209988,NA,1.514950037,NA,1.576609969,NA,1.753620028,NA,1.85394001,NA,2.183099985,NA,2.402420044,NA,2.383949995,2.246059895,NA,2.195749998,NA
AUT,1.584310055,1.658550024,1.736129999,1.849300027,1.889660001,1.995990038,2.069930077,2.182679892,2.173680067,2.383239985,2.371150017,2.432399988,2.585570097,2.613579988,2.737839937,2.68163991,2.885610104,2.964359999,2.986089945
