Row Labels,2005,2007,2010,2011,2012,2013,2014,2015
MAR,,,6.573743902,,,,,
AGO,,,,,,,,5.982944455
ALB,,,,,,,,11.87056576
ARM,,,,,,,,7.6
ATG,,,,7.094357616,,,,
AUS,,,,,,,,18.794
AUT,,,,,,,,28.03
AZE,,,,,,,,8.165277883
BDI,,,4.94,,,,,
BEL,,,,,,,,29.17
BEN,,,4.203,,,,,
BFA,,,,,,,,2.721265367
BGD,,,,,,,1.65032396,
BGR,,,,,,,18.5,
BHR,,,4.008,,,,,
BHS,,,,,,,,4.891083346
BLR,,,,,,,,19.39019832
BLZ,,,,,,,,4.61965784
BOL,,,,,,,10.17660472,
BRA,,,,,,,,18.26886721
BRB,,,11.40653004,,,,,
BRN,,,,2.312,,,,
BTN,,,,,,,2.665177886,
BWA,,,6.594392796,,,,,
CAF,,,,,2.553326009,,,
CAN,,,,,,,,17.213
CHE,,,,,,,,19.608
CHL,,,,,,,,15.341
CHN,,,,,,,,6.28303718
CIV,,,,,,,,2.00853849
CMR,,,2.33184022,,,,,
COD,,,,,3.48362855,,,
COG,,,,,2.2084606,,,
COL,,,,,,,,14.06643854
CPV,,,6.874126609,,,,,
CRI,,,,,,,,13.55189802
CUB,,,,17.95662394,,,,
CYP,,,,,,,23,
CZE,,,,,,,,19.475
DEU,,,,,,,,24.964
DJI,,7.29,,,,,,
DMA,,,7.99,,,,,
DNK,,,,,,,,28.814
DOM,,,,,,,6.40047754,
DZA,,,,8.529077987,,,,
ECU,,,,,,,7.768155931,
EGY,,,,,,,,11.20203309
ERI,,,,1.636,,,,
ESP,,,,,,,,25.371
EST,,,,,,,,17.037
ETH,,,3.172178602,,,,,
FIN,,,,,,,,30.575
FJI,,,,,,,,3.39320811
FRA,,,,,,,,31.685
GBR,,,,,,,,21.502
GEO,,,,,,,,10.64352903
GHA,,,5.391544484,,,,,
GIN,,,2.472675444,,,,,
GMB,,,,,,,4.21162845,
GNB,,,5.437,,,,,
GNQ,,,2.779711939,,,,,
GRC,,,,,,,,26.387
GRD,,,4.274314651,,,,,
GTM,,,,4.39,,,,
GUY,,,8.178390455,,,,,
HKG,,,,,,,,2.71162
HND,,,4.39,,,,,
HRV,,,,,,,21.6,
HTI,,,,,,3.27,,
HUN,,,,,,,,20.672
IDN,,,,,,,,1.129407377
IND,,,,,,,2.67688659,
IRL,,,,,,,,16.971
IRN,,,12.53348989,,,,,
ISL,,,,,,,,15.674
ISR,,,,,,,,16.046
ITA,,,,,,,,28.917
JAM,,,,4.42,,,,
JOR,,,,,,,,8.933692689
JPN,,,,,,23.06,,
KAZ,,,,,,,,5.371908255
KEN,,,,,2.28679935,,,
KGZ,,,,,,,9.047869447,
KIR,,,,,,,,11.96672333
KNA,,,5.613,,,,,
KOR,,,,,,,,10.108
KWT,,,,11.437,,,,
LAO,,,,,,1.20032,,
LBN,,,,,,,,2.064917733
LBR,,,,,,,,3.34924304
LBY,,,6.551,,,,,
LCA,,,5.968331341,,,,,
LKA,,,,,,,,6.511723916
LSO,,,,16.28743587,,,,
LTU,,,,,,,14.7,
LUX,,,,,,,,22.184
LVA,,,,,,,,14.415
MDA,,,,,,,,18.14896285
MDG,,,,,,,0.743427561,
MEX,,,,,,,,11.95039596
MLI,,,4.884,,,,,
MLT,,,,,,,18.2,
MMR,,,,0.959,,,,
MNG,,,,,,,,14.3885569
MOZ,,,,,,,,4.51673477
MRT,,,4.868375,,,,,
MUS,,,,,,,9.789494352,
MWI,,,,,,,,0.994650485
MYS,,,,,3.77183,,,
NAM,,,,,,,,6.692129222
NER,,,2.912275567,,,,,
NGA,,,,,,0.707320393,,
NIC,6.31,,,,,,,
NLD,,,,,,,,22.313
NOR,,,,,,,,23.909
NPL,,,,,,,,3.04781912
NZL,,,,,,,,19.667
OMN,,,,,,3.834498175,,
PAK,,,,,,,0.168979519,
PAN,,,,,,,,9.790580816
PER,,,,,,,,5.471245526
PHL,,,,,,,,2.200812678
PLW,,,,,,,,7.066058593
PNG,,,,,,,,3.56554272
POL,,,,,,,,19.419
PRT,,,,,,,,24.1
PRY,,,6.35,,,,,
ROU,,,,,,,14.8,
RUS,,,,,,,,15.56062704
RWA,,,7.312558703,,,,,
SAU,,,,3.643,,,,
SDN,,,2.274856143,,,,,
SEN,,,5.337,,,,,
SGP,,,,,,,,4.162000547
SLB,,,,,,,,6.64966077
SLE,4.157,,,,,,,
SLV,,,,,,,,11.5923832
SMR,,,21.40177439,,,,,
SRB,,,,,,,23.4,
STP,,,,,,,3.97776187,
SVK,,,,,,,,19.408
SVN,,,,,,,,22.362
SWE,,,,,,,,26.677
SWZ,,,,,4.368745749,,,
SYC,,,,,,,,7.54945687
SYR,,,1.913621936,,,,,
TCD,,,1.306,,,,,
TGO,,,,,,,2.59830705,
THA,,,,,,,,3.694476818
TTO,,,8.96,,,,,
TUN,,,,10.403,,,,
TUR,,,,,,,13.507,
TWN,,,9.682740027,,,,,
TZA,,,6.806,,,,,
UGA,,,,,,,,2.191067995
UKR,,,,,,,,22.22613968
URY,,,,,,,,16.9750333
USA,,,,,,,,18.954
UZB,,,,,,,11.62118007,
VCT,,,8.246862944,,,,,
VEN,,,,,,,,8.769795822
VNM,,,,,,,,6.333585551
WSM,,,,,,,,1.98255
YEM,,,,,9.557902348,,,
ZAF,,,,,,,,10.14728518
ZMB,,,,5.459,,,,
ZWE,,,,5.6,,,,
