Country Code,2017
ALB,76
AND,32
ARM,66
AUT,17
BEL,11
BGR,56
BHR,19
BIH,70
BLR,54
CAN,39
CEB,51
CHE,23
CHI,53
CHL,44
COL,85
CYP,41
CZE,28
DEU,8
DNK,34
ECA,65
ECS,60
ECU,69
EMU,25
ESP,21
EST,32
EUU,38
FIN,7
FRA,41
GBR,5
GEO,73
GRC,13
GRL,31
HIC,37
HKG,11
HRV,62
HUN,45
IRL,46
IRQ,81
ISL,25
ISR,20
ITA,34
JOR,55
JPN,15
KOR,14
KWT,1
LAO,81
LBN,86
LCN,76
LIE,4
LTU,47
LUX,10
LVA,48
MAR,76
MCO,1
MEA,70
MEX,76
MKD,76
MLT,9
MYS,52
NAC,39
NGA,87
NLD,6
NOR,48
NZL,16
OED,56
PER,81
PHL,75
POL,22
PRI,63
PRT,48
PRY,68
PST,36
QAT,30
ROU,61
RUS,66
SGP,1
SLE,89
SMR,24
SRB,84
SSF,88
SVK,29
SVN,43
SWE,17
TEC,63
TUN,58
UKR,59
USA,25
WLD,70
WSM,74
