"GeoAreaCode","PC1"
"AFG","n"
"ALA","n"
"ALB","n"
"DZA","n"
"ASM","n"
"AND","n"
"AGO","n"
"AIA","n"
"ATA","n"
"ATG","n"
"ARG","n"
"ARM","n"
"ABW","n"
"AUS","n"
"AUT","p"
"AZE","n"
"BHS","n"
"BHR","n"
"BGD","n"
"BRB","n"
"BLR","n"
"BEL","n"
"BLZ","p"
"BEN","n"
"BMU","p"
"BTN","n"
"BOL","p"
"BES","n"
"BIH","n"
"BWA","n"
"BVT","n"
"BRA","p"
"IOT","n"
"VGB","n"
"BRN","n"
"BGR","n"
"BFA","n"
"BDI","n"
"CPV","n"
"KHM","n"
"CMR","n"
"CAN","n"
"CYM","n"
"CAF","n"
"TCD","n"
"CHL","n"
"CHN","n"
"HKG","n"
"MAC","n"
"CXR","n"
"CCK","p"
"COL","p"
"COM","n"
"COG","n"
"COK","p"
"CRI","n"
"CIV","n"
"HRV","n"
"CUB","n"
"CUW","n"
"CYP","p"
"CZE","n"
"PRK","n"
"COD","n"
"DNK","n"
"DJI","n"
"DMA","n"
"DOM","p"
"ECU","p"
"EGY","n"
"SLV","n"
"GNQ","n"
"ERI","n"
"EST","n"
"SWZ","n"
"ETH","n"
"FLK","n"
"FRO","p"
"FJI","n"
"FIN","p"
"FRA","n"
"GUF","n"
"PYF","n"
"ATF","n"
"GAB","n"
"GMB","n"
"GEO","n"
"DEU","p"
"GHA","n"
"GIB","n"
"GRC","n"
"GRL","p"
"GRD","n"
"GLP","n"
"GUM","n"
"GTM","p"
"GGY","n"
"GIN","p"
"GNB","n"
"GUY","p"
"HTI","n"
"HMD","n"
"VAT","n"
"HND","p"
"HUN","p"
"ISL","n"
"IND","p"
"IDN","p"
"IRN","n"
"IRQ","p"
"IRL","p"
"IMN","p"
"ISR","p"
"ITA","n"
"JAM","p"
"JPN","p"
"JEY","p"
"JOR","n"
"KAZ","p"
"KEN","p"
"KIR","n"
"KWT","n"
"KGZ","p"
"LAO","n"
"LVA","n"
"LBN","p"
"LSO","n"
"LBR","n"
"LBY","n"
"LIE","p"
"LTU","p"
"LUX","n"
"MDG","p"
"MWI","n"
"MYS","p"
"MDV","p"
"MLI","n"
"MLT","n"
"MHL","n"
"MTQ","n"
"MRT","n"
"MUS","p"
"MYT","n"
"MEX","p"
"FSM","n"
"MCO","p"
"MNG","n"
"MNE","n"
"MSR","n"
"MAR","p"
"MOZ","n"
"MMR","n"
"NAM","p"
"NRU","n"
"NPL","n"
"NLD","p"
"NCL","n"
"NZL","n"
"NIC","n"
"NER","p"
"NGA","p"
"NIU","n"
"NFK","n"
"MKD","n"
"MNP","n"
"NOR","p"
"OMN","n"
"PAK","n"
"PLW","n"
"PAN","n"
"PNG","n"
"PRY","n"
"PER","p"
"PHL","p"
"PCN","p"
"POL","p"
"PRT","p"
"PRI","p"
"QAT","p"
"KOR","n"
"MDA","p"
"REU","n"
"ROU","n"
"RUS","p"
"RWA","p"
"BLM","p"
"SHN","n"
"KNA","n"
"LCA","p"
"MAF","n"
"SPM","n"
"VCT","n"
"WSM","n"
"SMR","n"
"STP","n"
"","n"
"SAU","n"
"SEN","n"
"SRB","n"
"SYC","n"
"SLE","n"
"SGP","p"
"SXM","n"
"SVK","p"
"SVN","n"
"SLB","n"
"SOM","n"
"ZAF","p"
"SGS","n"
"SSD","n"
"ESP","p"
"LKA","n"
"PSE","n"
"SDN","n"
"SUR","p"
"SJM","n"
"SWE","n"
"CHE","p"
"SYR","n"
"TJK","n"
"THA","n"
"TLS","n"
"TGO","n"
"TKL","p"
"TON","n"
"TTO","n"
"TUN","n"
"TUR","n"
"TKM","p"
"TCA","n"
"TUV","p"
"UGA","p"
"UKR","n"
"ARE","n"
"GBR","n"
"TZA","n"
"UMI","p"
"USA","p"
"VIR","n"
"URY","n"
"UZB","n"
"VUT","n"
"VEN","n"
"VNM","p"
"WLF","p"
"ESH","n"
"YEM","p"
"ZMB","n"
"ZWE","n"
