ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
AFG,57.82709922,57.82709922,57.82709922,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957
AGO,45.96133793,45.96133793,46.03352852,46.19395203,46.19395203,46.19395203,46.19395203,46.27416379,46.27416379,46.75543435,46.83564611,47.31691666,47.31691666,47.47734018,47.47734018,47.47734018,47.47734018
ALB,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306748,43.84306748,43.83211679,43.84306748,43.33211857,42.8573007,42.85766602,43.12773544
AND,48.93617021,48.40425532,48.61702209,48.63829917,48.53191376,46.3829771,46.34042699,44.19149034,44.17021325,44.19149034,42.06383076,42.06383076,39.9148941,40.02127546,40.02127546,40.02127546,39.95744827
ARE,7.772458462,7.983666573,8.039988736,7.871022247,7.871022247,7.913263869,7.654181577,7.569698333,7.668262118,5.532244352,5.594198645,5.540692763,5.374542554,5.412559756,5.456209518,5.460433509,5.474514049
ARG,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212
ARM,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301104,61.53494993,61.42606424,61.33825251,60.94134176,59.64523975,59.11485774,59.11485774,59.03406924,58.89357047,58.89708637
ASM,24.00000095,22.5,22.5,25.19999981,25,25,25,24.00000095,24.00000095,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048,24.50000048
ATG,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545
AUS,59.29213907,59.31817294,58.1856996,57.20942947,57.28883277,57.94475613,56.61390469,55.38041993,54.31810786,53.24303919,51.88289965,53.32681537,52.78028715,51.62715756,52.88377179,47.63065749,48.24194425
AUT,35.60426194,35.3124255,35.1441021,34.93860475,34.72269196,34.59433336,34.43085552,34.27184195,34.02116749,33.84678808,33.65830719,33.39712672,33.13225067,32.91369341,32.89022473,32.94172553,32.35667614
AZE,57.38635558,57.45000089,57.4317947,57.52552855,57.51523841,57.56835347,57.55291077,57.56453273,57.56835033,57.57909143,57.67034492,57.69193917,57.68709523,57.70454009,57.7005469,57.7017519,57.73557518
BDI,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,69.43146417,67.48442368,69.43146417,71.37850467,71.37850467,73.32554517,75.27258567,79.16666667,79.16666667,79.16666667,79.16666667
BEL,45.89167687,45.79920901,45.87516432,45.97754132,45.94782196,45.67371202,45.57463672,45.14200873,45.08916938,45.03302429,44.7721252,44.11162322,43.98943197,44.13804491,43.96631601,43.85733157,44.61030544
BEN,28.33451579,28.9553033,29.8421426,30.74671869,31.633558,31.21674353,29.57609081,29.62043278,30.55161405,29.70911671,30.50727208,31.30542746,32.81305427,33.25647393,33.25647393,33.25647393,33.25647393
BFA,35.70906433,38.63304094,39.36403509,40.82602339,38.99853801,40.09502924,39.36403509,40.09502924,44.11549708,43.01900585,44.15204678,43.09210526,44.2251462,44.95614035,44.2251462,44.2251462,44.2251462
BGD,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.06222632,69.97003918,69.90089882,70.38672685,70.63232666
BGR,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709564,46.25092115
BHR,12.95774621,12.95774621,12.95774621,12.36111058,11.91780796,11.7567565,11.55405431,11.19999949,10.78947343,10.99999955,11.28609019,11.21251724,11.16883166,11.16883166,11.15434572,11.05398463,11.05398463
BHS,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.498501499,1.498501499,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399
BIH,41.6015625,41.5234375,41.46484375,42.36328125,42.37109184,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125
BLR,45.61230527,45.000986,44.49539023,44.30311098,44.16448893,44.12069221,44.1498275,43.94282898,43.94775752,44.014397,43.85411533,43.73860332,43.34926815,42.93177134,42.4879174,42.24201571,42.03548913
BLZ,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.795265235,6.882946076,6.882946076,7.014467339,7.014467339,7.014467339,7.014467339,7.014467339
BMU,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678
BOL,34.28690114,34.2989015,34.44198283,33.82904089,33.80134773,34.11981907,34.25828487,34.51490815,34.60260316,34.77614696,34.63121942,34.66906674,34.75583864,34.8361488,34.80291701,34.76506969,34.78722422
BRA,31.27561874,31.52196541,31.80946957,32.12066321,32.55891861,32.5948828,32.6369264,32.49981455,32.72259139,32.72737714,32.71816457,32.94668431,32.97468097,33.44787237,33.9284817,33.98878219,33.92453345
BRB,41.86046512,41.86046512,39.53488372,39.53488372,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,32.55813953,30.23255814,29.06976744,27.90697674,25.58139535,23.25581395
BRN,1.897533207,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.954459239,2.163187783,2.163187783,2.542694425,2.542694425,2.542694425,2.542694425,2.732447745,2.732447745,2.732447745,2.732447745
BTN,13.31658291,13.44221106,13.44221106,13.49246231,15.32124793,15.55736306,15.13760284,14.77031265,13.67631226,13.64220706,13.64220706,13.63171242,13.63171242,13.63171242,13.7891225,13.7891225,13.60633424
BWA,45.79076456,45.52608826,45.60549115,45.51726572,45.57196549,45.59755086,45.52961728,45.49609161,45.66724895,45.73253578,45.63195878,45.74665184,45.67783601,45.66371994,45.87899,45.6330168,45.6330168
