ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,163,163,163,160,162,162,145,159,151,163,153,168,138,142,142,142,142
AFG,1300,1250,1350,1350,1450,1450,1450,2050,2050,2050,2050,2050,2050,2050,2100,2150,2200
AGO,239356,254564,255494,212105,240094,202742,225897,306626,306050,272302,310310,342310,374310,407057,442389,496104,487145
ALB,3635,3597.2,4516.8,4274.6,6118.5,6473,7709.3,7505.4,7365,8128,7636.2,6827.2,10649.2,11078.5,11476.7,9472.5,8835.7
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,105456,112561,97574,97450,90570,87325,101013,97097,75418,77835,79808,75562,73148,73780,73991,73790,74240.9
ARG,923584,932421,947642,911847,946694,931994,1174508,988366,997783,864557,814403.3,796501.2,741018.4,874530.1,833937.7,817962.7,758899.5
ARM,2026,2197,1485,1633,1031,989,1406,4715,5701,5859,5617,7095,9711,15799,18720,23270,20139
ASM,851,3677,6949,5099,4051,4029,5367,6537,4442,4962,5328,4921,6129,3293,2599,3177,3067
ATG,1723,1797,2343,2541,2473,2948,3044,3042,3389,2416,2219,3059,5961,4616,3127,3010,3010
AUS,238126,240630,246082,263343.2,287701,293773.3,262276,246298.3,242554.4,249222.3,254615.8,252843.6,248311,243449.4,236915.4,251486,271477
AUT,3286,2755,2683,2605,2667,2790,2863,2889,2437,2491,2517,3254.3,3425.5,3587,3740.3,3853.4,3833.4
AZE,18937,10988,11268,6565,9608,9501,4661,3849,2524,2206,2081,1578,1277.1,1121,1183,1129,1316
BDI,17365,9014,11050,14747,13905,13450,13028,11359,18315,12665,17322.3,10715.7,12469.4,13397,16219,21446,23135
BEL,31671,32039,30862,28092,27474,24981,23147,24669,22735,22298,22957,22578,24936,25874,27007,24803,27014
BEN,32324,38415,40670,41655,39995,31847,41922,36564,37708,39236,40155,39248,40864,43083,48997,37747,52886
BFA,8505,8505,8505,9005,9005,9065,9750,10548,11568,12075,14800,15305,20602,20820,21000,21030,22540
BGD,1661384,1781057,1890459,1998197,2102026,2215957,2328545,2440011,2563296,2885864,3035101,3124677,3261781,3410254,3548115,3684245,3878324
BGR,12317,11612,17316,16500,10741,8579,10801,12935,14021,15700.54,18689.62,15150.18,15556.06,21821.65,19859.8,22365.55,24376.16
BHR,11730,11230,11207,13642,14497,11858,15595,15014,14178,16358,13493.19,9918.424,27092.72,14976,15859.71,15006,15006
BHS,15529,13684,15700,16776,15194,15640,16294,10942,14833,13826.83,16342.44,15313,16756.83,12765,11886.57,11315.62,11633
BIH,255,255,4940,6890,6699,7375,7926,7747,7894,7925,7925,5275.2,3943.3,3228.5,3702,4755.6,4868.6
BLR,7269,5610,7543,6196,4733,6242,9051,14780,15445,16485,17162,17415,16464,14245,11424,9999.9,11885
BLZ,33952,35206,88760,53518,81472,111585,193397,308817,368802,309942,407339.7,282516,177818.6,41824,83400.76,101726,92385
BMU,290,309,397,363,386,401,381,425,401,416,375,478,516,461,417,407,410
BOL,6511,6260,6718,6974,6886,6790,6535,6355,7381,8343,7802,7643,7880,8247,8390,9987.5,10000
BRA,839296,935946,1003260,985412,1015916,1008045,1050810,1072225,1123445,1190539,1197146,1201477,1300992,1243038,1331256,1275230,1286230
