ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326
AFG,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
AGO,47.90887944,47.80877454,47.70866964,47.60856787,47.50846297,47.40835807,47.30825316,47.20814826,47.10804649,47.00794159,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041
ALB,28.07664189,28.17226215,28.26788241,28.36350267,28.45912516,28.55474542,28.51021871,28.46569423,28.42116753,28.37664305,28.33211634,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701
AND,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
ARE,4.364967615,4.370599745,4.376231875,4.381864435,4.387496566,4.393128696,4.408054035,4.422979374,4.437904712,4.452830051,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852
ARG,11.64180086,11.51946301,11.39712587,11.27478801,11.15245087,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818
ARM,11.69652266,11.68949729,11.68247299,11.67544763,11.66842333,11.66139796,11.6543726,11.6473483,11.64032293,11.63329864,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333
ASM,90.24999619,90.10000229,89.89999771,89.75000381,89.54999924,89.3999958,89.25000191,89.04999733,88.90000343,88.75,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5
ATG,22.72727273,22.63636372,22.54545472,22.45454571,22.36363671,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771
AUS,16.77114927,16.73990862,16.70866798,16.67742733,16.64618669,16.61494604,16.499616,16.38428596,16.26895591,16.15362587,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806
AUT,46.47614434,46.50763015,46.539113,46.5705988,46.60208165,46.63356745,46.65536509,46.67829433,46.70008953,46.7218877,46.74764969,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284
AZE,10.55384042,10.56704232,10.57832485,10.58703912,10.59754178,10.61214629,10.93239059,11.25077117,11.56837308,11.88642243,12.19875188,12.5156675,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334
BDI,7.710280374,7.577881858,7.445482747,7.313084231,7.180685121,7.048286604,7.60903403,8.16978205,8.730529476,9.291277496,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151
BEL,22.03764821,22.08322301,22.12879781,22.1743726,22.2199474,22.2655222,22.31175613,22.35799207,22.40422802,22.45046195,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464
BEN,44.88293721,44.43951756,43.99609791,43.55267825,43.1092586,42.66583895,42.2224193,41.77899965,41.33557999,40.89216034,40.44874069,40.00532104,39.56190138,39.11848173,38.67506208,38.23164243,37.78822277
BFA,22.83625731,22.61769077,22.39912245,22.18055591,21.96198759,21.74342105,21.52412281,21.30482456,21.08552632,20.86622807,20.64692982,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703
BGD,11.27756011,11.25758642,11.23761273,11.2176381,11.1976644,11.17769071,11.15771702,11.13774333,11.1177687,11.097795,11.07782131,11.05784762,11.03787393,11.01789929,10.9979256,10.97795191,10.95797822
BGR,30.50709572,31.00605578,32.03492557,32.55125584,33.06178787,33.60640648,33.76783532,33.93241785,34.09078444,34.26492307,34.42336035,34.58179763,34.74023491,34.89867444,35.05711172,35.21554901,35.37398629
BHR,0.521126767,0.549295754,0.56338029,0.583333315,0.589041106,0.608108092,0.621621633,0.639999986,0.644736855,0.671052619,0.695538048,0.704041777,0.72727273,0.740259731,0.765239929,0.771208227,0.784061684
BHS,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145
BIH,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125
BLR,40.78584106,40.94655694,41.10930432,41.27002813,41.43484242,41.59148055,41.67372898,41.77033117,41.86692856,41.98008279,42.06012814,42.15613026,42.25420041,42.35269119,42.43716789,42.53416463,42.6301065
BLZ,63.97632831,63.60149057,63.226214,62.85138162,62.47610504,62.10127266,61.88075406,61.66023545,61.44015568,61.21964244,60.99912383,60.77904406,60.5589643,60.33932336,60.11924359,59.89916917,59.6790894
BMU,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819
BOL,55.47032216,55.21979282,54.96925987,54.71873053,54.46819758,54.21766824,53.75150005,53.28533186,52.81916367,52.35299548,51.88682729,51.62004985,51.35327241,51.08649497,50.81971753,50.55294009,50.28616265
BRA,62.36722524,62.01930094,61.67137665,61.32345235,60.97552805,60.62760375,60.42957075,60.23153402,60.03350102,59.83546429,59.63743129,59.51970175,59.40197221,59.28424267,59.16651312,59.04878358,58.93105404
BRB,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323
BRN,75.33206831,75.02846184,74.72485537,74.42125469,74.11764822,73.81404175,73.47248808,73.13092863,72.78937497,72.44781552,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
BTN,65.47738693,65.7268827,65.97638461,66.22588038,69.41049937,69.67101126,69.93152956,70.19177885,70.45229074,70.71280903,70.97332093,71.23383282,71.49434471,71.754863,72.0153749,72.27562418,72.48453671
BWA,22.11811621,21.90919769,21.7002809,21.49136239,21.28244559,21.07352708,20.86460856,20.65569177,20.44677325,20.23785646,20.02893794,19.84860481,19.66827168,19.48794027,19.30760714,19.12727401,18.94694088
