ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,31620,30140,27760,29550,31950,27060,33630,31230,35670,32360,30710,31000,32030,34260,35090,35190,35660,36300,NA,NA
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,1710,1700,1920,2020,2070,2110,2150,2230,2260,2330
AGO,2780,2890,3370,3450,3760,4290,4710,5320,5560,5820,5950,6130,6810,7130,7680,6960,6730,6860,6550,6390
ALB,3980,4460,4800,5150,5560,5990,6750,7480,8260,8680,9540,10210,10450,10750,11360,11800,12200,13070,13820,14350
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,103160,101460,96350,99190,102360,99230,97720,89930,80690,68870,64860,67710,69160,70460,73740,65220,64340,67670,68780,70240
ARG,11310,10900,9540,10580,10860,12030,14460,16130,16970,15830,17440,18770,19150,19650,19250,19700,19860,22960,22450,22060
ARM,2740,3090,3580,4180,4810,5680,6720,7960,8790,7530,7880,8310,9740,10440,10490,10370,10950,12540,13180,14460
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,16010,15680,15540,16670,17800,19420,22230,24560,24510,21440,20110,19720,18950,18180,18070,17880,18410,18920,20510,21500
AUS,25560,26590,27940,28890,30410,31360,32950,34920,35930,38890,37770,40280,41520,44760,45650,45330,46230,47580,49440,51560
AUT,29130,29310,31000,32030,33700,34940,37700,39350,41660,40940,42390,44600,46500,48050,48860,49390,52630,54150,56720,59060
AZE,3220,3590,3970,4430,4820,6000,8190,10120,11780,13120,13950,13710,14980,16230,16850,14370,13430,13510,13790,14360
BDI,540,530,550,530,550,560,590,610,630,640,660,680,690,740,780,840,800,770,780,780
BEL,28510,29340,30810,31490,32480,33590,35720,37260,38800,38490,40480,41010,43270,44750,45870,46870,49090,51320,52620,54730
BEN,1750,1830,1880,1920,2000,2050,2130,2250,2350,2350,2350,2410,2480,2650,2820,2860,2980,3010,3200,3390
BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1640,1770,1980,2120,2220
BGD,1370,1450,1510,1590,1690,1830,2010,2200,2380,2490,2640,2830,3190,3400,3590,3790,4070,4340,4750,5190
BGR,6270,6970,7950,8540,9300,10320,11110,11860,13650,13730,14560,15170,16020,16220,17400,17770,19270,20850,22810,23880
BHR,41140,40590,39640,40950,42250,44230,45240,46880,46130,41630,42550,41180,49020,49600,48600,43140,42300,44970,44720,44140
BHS,27550,28270,29110,28860,29410,30690,31710,32400,32190,30300,30460,30940,31880,31750,31260,32390,32920,34260,34340,35760
BIH,5040,5190,5530,5720,6500,6750,7630,8430,9360,9390,9510,10060,10380,11160,11530,12100,13010,13740,14890,15770
BLR,5780,6220,6690,7370,8490,9630,10970,12220,13780,13830,15050,16170,17660,18260,18360,17240,16900,17580,18640,19340
BLZ,5210,5320,5530,5880,6030,6220,6550,6430,6630,6930,6800,7170,6700,6680,6560,6840,6740,6510,6580,6630
BMU,NA,NA,NA,NA,NA,NA,NA,84100,83750,76640,77120,76250,74050,75620,NA,NA,NA,NA,NA,NA
BOL,3350,3410,3490,3540,3690,3930,4180,4400,4710,4790,4940,5200,5570,6210,6690,6890,7360,8190,8650,8910
BRA,8800,8960,9250,9420,10140,10670,11350,12280,12990,12980,13860,14650,14670,15370,15430,14470,13950,14250,14520,14850
BRB,12310,12180,12390,12810,13400,14140,15120,16140,16310,15680,15730,15250,14740,14700,14540,14810,15220,15080,15320,15730
BRN,66440,68350,70720,72760,73810,75210,79770,81430,80340,78680,79690,81680,86130,82860,81300,65690,60420,64620,62200,66410
BTN,2690,2920,3180,3400,3640,4000,4390,5230,5450,5730,6310,6830,7280,7430,8050,8820,9560,10170,10570,NA
BWA,8250,8610,8150,8860,9060,9830,10850,11920,12630,12080,12680,13940,13390,14070,15830,15060,15860,15980,16680,17110
CAF,660,700,720,680,720,740,780,830,840,910,960,1020,1110,750,730,800,860,960,1030,1060
CAN,28590,29360,30180,31540,33180,35580,37500,38970,39780,38220,39320,40880,41540,43620,45010,43990,45910,48070,49430,50810
CHE,38140,38240,38720,40190,41600,43980,48460,50050,49150,52790,56230,56830,59140,61380,62170,65450,66080,67890,70130,72390
CHL,9220,9640,9930,10180,10840,11640,13840,15050,15220,15060,16880,19110,20490,21300,21910,22000,22000,22690,23700,24140
CHN,2890,3160,3500,3910,4410,5020,5830,6830,7620,8290,9210,10200,11170,11830,12570,12930,13520,14330,15550,16740
CIV,2080,2030,1960,1870,2000,2210,2260,2310,2370,2410,2430,2310,2540,2700,3050,4550,4620,4690,4980,5290
CMR,1830,1880,1960,2080,2250,2290,2410,2500,2590,2620,2650,2750,2810,2950,3160,3210,3350,3490,3610,3730
COD,440,410,430,450,470,500,530,550,560,580,610,640,630,690,780,840,940,1030,1080,1110
COG,2430,2500,2640,2690,2560,2690,2840,2890,3230,3330,3670,3720,3770,3740,3890,3300,3150,3130,3090,3060
COL,6550,6670,6830,7070,7540,8120,8800,9490,9830,9940,10340,11110,11560,12280,12910,13080,13800,14050,14590,15150
COM,1800,1840,1860,1890,1930,2000,2070,2100,2160,2190,2250,2340,2510,2640,2720,2720,2880,3050,3160,3220
CPV,2960,3080,3200,3360,3740,4010,4380,5210,5560,5470,5440,5730,5570,5590,5460,5770,6100,6410,6860,7310
CRI,7480,7770,8020,8380,8890,9430,10360,11400,12080,11730,12310,12930,13640,14100,14960,15860,17230,18160,18790,19250
CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,NA,NA,NA,NA,NA,25350,25930,26750,26940,26440,26790,27060,25800,25470,25120,25070,24680,25690,25860,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59910,61840,42520,37500,36380,38100,39910,41640,NA,NA
CYP,19470,21240,22340,23260,24460,26320,28320,30740,34260,33820,32970,34190,31610,30020,29240,31510,33970,36620,38340,39830
CZE,15900,17080,17560,18780,19840,20970,22330,24450,26040,25670,25640,26620,27250,28670,30090,31420,33550,36120,38180,40660
DEU,27060,28180,28870,29570,31490,32060,34700,36780,38160,37680,39760,43630,44400,46040,47950,48770,51810,54370,55980,57690
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4210,4490,4850,4950,5100,5520,5980
DMA,5750,6160,6000,6510,6780,7100,7980,8630,9490,9570,9830,9980,9570,9860,10560,10690,11630,11050,11830,12460
DNK,28020,29020,30260,30510,32950,34430,37740,39160,41740,40770,43740,45340,45820,48210,49640,50560,53250,56230,58700,61410
DOM,6480,6680,6990,6770,6920,7920,8830,9600,10110,10160,11000,11410,11430,11890,12820,14130,15420,15940,17310,18280
DZA,8030,8520,8940,9660,10160,10840,11310,12130,12550,12600,13060,13360,13060,12780,12710,11700,11510,11370,11450,11530
ECU,5450,5790,6050,6210,6760,7270,7720,7970,8640,8640,8950,9700,10160,10990,11540,10870,10830,11360,11520,11500
EGY,5820,6050,6190,6370,6690,7010,7640,8290,8890,9140,9330,9550,10820,10970,10640,11310,11040,10800,11340,11810
ERI,1530,1630,1630,1540,1530,1560,1550,1570,1410,1450,1470,1610,NA,NA,NA,NA,NA,NA,NA,NA
ESP,21440,22640,24100,24810,25880,27230,30120,31640,32340,31510,31240,31310,31470,32220,33400,34900,37370,39570,40570,42300
EST,9070,9810,11050,12360,13710,15870,18250,20450,21640,19990,20650,23530,25110,26980,28310,28750,30530,33020,35680,38010
ETH,480,520,520,500,570,640,710,790,870,930,1020,1130,1210,1280,1510,1650,1870,2010,2140,2300
FIN,26630,27800,28690,28850,31390,32190,34730,37910,40150,38480,39490,41070,41060,41660,42180,42930,45160,47490,49550,51210
FJI,5950,6010,6400,6520,7040,7380,7280,7460,7590,7620,7670,8010,8510,9350,10820,11870,12100,12610,13170,13260
FRA,26510,28000,28820,28520,29440,31020,33080,34760,35860,35510,36760,38440,38500,40410,41010,41740,43830,45850,47500,50390
FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,2550,2660,2710,2800,2830,3010,3120,3190,3160,3340,3380,3530,3550,3540,3470,3980,3940,3970,3640,NA
GAB,11850,12350,12710,12640,12120,13280,12470,12960,12500,12570,12890,13490,13820,13650,14570,13480,13180,14060,14100,14420
GBR,26510,27960,29440,30650,32300,33110,34800,35430,36320,34770,36390,37310,37910,39160,40420,41550,43100,45430,46240,48040
GEO,3140,3400,3660,4170,4610,5220,5980,6830,7100,6960,7430,8120,9720,10420,11420,11820,12260,12920,14030,15020
GHA,1740,1810,1880,1960,2080,2220,2380,2490,2700,2780,2920,3270,3590,5150,5280,5050,4800,4860,5210,5510
