ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,0.000703182,0.000712137,0.000657229,0.00069997,0.000685497,0.0006534,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.00225777,0.003265236,0.002423296,0.003363897,0.002858485,NA
AFG,NA,NA,1.113305508,0.719336357,0.44513961,0.384138015,0.501578226,0.445735403,0.604206063,0.406228568,0.587141123,0.841022798,0.676042625,0.526532903,0.49700391,0.482763042,0.597256723,0.659662724,0.672740957
AGO,56.12680181,38.38737677,27.35576314,24.54401094,36.04911712,45.01958262,43.78410154,47.48487583,56.61044011,31.76128111,39.0141728,39.97228847,35.6759104,30.55466364,23.44967565,10.77240375,10.76274536,16.22110434,26.76820695
ALB,1.094690115,0.732448643,0.755613039,0.762016172,0.77628757,1.049983524,1.430888689,2.171592687,1.629068875,0.979989768,2.033735669,3.455056547,3.59604682,3.578326205,3.574868782,1.821391996,1.044255205,1.606539289,2.354475475
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,21.9024479,17.20490622,15.49687178,17.87456457,20.87282094,25.9243472,26.22332188,24.03026726,28.44475067,19.28964034,22.6689375,30.12182089,29.91056327,27.1543032,24.25829343,14.05910351,11.3540411,13.61972828,17.37530502
ARG,2.4076815,1.992737278,5.80334674,5.064666557,4.88426198,5.678006643,6.029728159,4.974128228,5.054556821,3.197538588,3.466662039,3.902869048,3.76621596,3.371080145,3.043864039,1.356256493,1.14484723,1.298936133,2.235890922
ARM,0.363203884,0.29675514,0.460041922,0.520673274,0.974003626,0.901240752,1.788861711,1.297061299,1.294545673,1.656635559,2.992128557,4.103021929,3.955211448,3.405588095,3.393911084,4.016503356,4.583166344,5.947861429,6.601176006
ASM,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,3.231431062,3.471162582,3.11354299,2.94637291,3.883173717,5.386166868,6.675721816,8.39559197,10.48512567,6.775935217,9.791839422,10.73234389,7.600251601,7.677282212,7.323028681,5.261460802,6.120822107,7.159503807,7.502275241
AUT,0.149779613,0.159477077,0.159520174,0.153375385,0.13057629,0.152126688,0.195083048,0.229398704,0.263908482,0.181966084,0.235936467,0.276862863,0.262606094,0.239290367,0.197808552,0.134073998,0.113297352,0.134710786,0.148450262
AZE,33.93646174,27.38385494,25.70927408,26.0477788,28.83192307,37.63151863,41.94032378,39.16938351,41.19264435,28.42012971,32.17710746,35.22635088,31.46144323,27.02752219,23.06991163,14.60405714,15.42943724,21.24903866,29.59159104
BDI,15.05369193,18.65385479,24.11573265,40.55010865,30.59280761,26.48023572,24.11333297,32.55323513,33.38674573,30.61841202,24.07173271,25.27630491,17.96969082,17.80847015,17.87785083,16.10904656,17.19418348,16.14845244,11.21425337
BEL,0.024685226,0.021015225,0.023752318,0.021740691,0.015883552,0.015671629,0.017378228,0.018871598,0.018437634,0.017385478,0.01930461,0.019296694,0.018639179,0.019350135,0.020014355,0.019418985,0.018814907,0.017533804,0.01674252
BEN,3.399254022,3.16184541,3.393502091,4.187371032,3.133432258,3.038572075,3.051717843,3.627352935,3.665918338,3.720879244,3.426251822,3.482666114,3.921211014,3.519925751,3.714293108,4.353668554,4.448066288,4.081213563,2.369257116
BFA,5.317054398,4.741281573,5.70686002,6.356587761,5.502722142,6.355292425,6.531325694,8.15387123,9.227158045,10.68685915,13.27202854,16.59544993,16.83220335,15.24773637,15.36061785,17.60490646,18.21432467,18.40150778,14.17054324
BGD,0.587673923,0.639374158,0.754929885,0.747608298,0.780277369,1.000141936,1.419213723,1.279245923,1.198044802,1.226199736,1.185927828,1.724403536,1.655637578,1.260237804,1.194249499,0.980787769,0.661887036,0.633910915,0.657600026
BGR,1.363628179,1.262655501,0.927455421,0.885636945,1.87738493,1.719976746,2.831274521,2.541056841,2.758678441,1.560552905,2.537911517,2.85899826,2.337365663,1.798700761,1.584814686,1.505958875,0.87284359,0.997402815,0.919710992
BHR,6.093283636,5.912062787,5.150864419,5.075147426,5.141915651,6.520418184,7.143498014,6.78359515,7.483967671,6.305647803,6.037884449,8.256358217,8.911425869,9.38807365,8.658524396,5.155813654,3.206850992,3.471151064,4.335873447
BHS,0.006546234,0.006725527,0.008025026,0.007119133,0.006320488,0.006186407,0.007387308,0.007858555,0.008815082,0.008625399,0.015294778,0.013281663,0.012326209,0.014533893,0.018039071,0.013055847,0.01619517,0.013748276,0.009722768
BIH,1.223939237,1.381755038,0.884701945,0.879184682,1.704350352,2.025766144,1.72814522,2.28020349,3.784039051,1.506102425,2.648689651,3.673892642,2.361262144,1.957797898,1.381564176,1.05051554,1.131661182,1.35835128,1.194953005
BLR,2.459939586,2.090387985,1.777087341,1.739717146,1.771785821,1.728376259,1.686310777,1.547056275,1.533234218,1.09336456,1.338276469,1.739214706,1.815290769,1.482578414,1.335923383,1.133481016,1.282796938,1.49881281,1.610114804
BLZ,0.274290259,0.274297944,0.285390599,0.276540835,0.244882557,0.287141498,3.119527825,4.069813087,6.062754963,4.01815476,5.305299354,6.905591969,4.818513649,3.541070415,2.631298335,1.065467492,0.880998946,0.965863144,1.057986081
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
